Total Simulation steps: 128
Td	ID	Tj	Df	Dd	Db
93	355	93	93	0	0
94	358	94	94	0	0
94	357	94	94	0	0
94	359	94	94	0	0
95	362	95	95	0	0
95	361	95	95	0	0
95	363	95	95	0	0
96	366	96	96	0	0
96	365	96	96	0	0
96	367	96	96	0	0
97	370	97	97	0	0
97	369	97	97	0	0
97	371	97	97	0	0
98	374	98	98	0	0
98	373	98	98	0	0
98	375	98	98	0	0
99	378	99	99	0	0
99	377	99	99	0	0
99	379	99	99	0	0
100	382	100	100	0	0
100	381	100	100	0	0
100	383	100	100	0	0
101	386	101	101	0	0
101	385	101	101	0	0
101	387	101	101	0	0
102	390	102	102	0	0
102	389	102	102	0	0
102	391	102	102	0	0
103	394	103	103	0	0
103	393	103	103	0	0
103	395	103	103	0	0
104	398	104	104	0	0
104	397	104	104	0	0
104	399	104	104	0	0
105	402	105	105	0	0
105	401	105	105	0	0
105	403	105	105	0	0
106	406	106	106	0	0
106	405	106	106	0	0
106	407	106	106	0	0
107	410	107	107	0	0
107	409	107	107	0	0
107	411	107	107	0	0
108	414	108	108	0	0
108	413	108	108	0	0
108	415	108	108	0	0
109	418	109	109	0	0
109	417	109	109	0	0
109	419	109	109	0	0
110	422	110	110	0	0
110	421	110	110	0	0
110	423	110	110	0	0
111	426	111	111	0	0
111	425	111	111	0	0
111	427	111	111	0	0
112	430	112	112	0	0
112	429	112	112	0	0
112	431	112	112	0	0
113	434	113	113	0	0
113	433	113	113	0	0
113	435	113	113	0	0
114	438	114	114	0	0
114	437	114	114	0	0
114	439	114	114	0	0
115	442	115	115	0	0
115	441	115	115	0	0
115	443	115	115	0	0
116	446	116	116	0	0
116	445	116	116	0	0
116	447	116	116	0	0
117	450	117	117	0	0
117	449	117	117	0	0
117	451	117	117	0	0
118	454	118	118	0	0
118	453	118	118	0	0
118	455	118	118	0	0
119	458	119	119	0	0
119	457	119	119	0	0
119	459	119	119	0	0
120	462	120	120	0	0
120	461	120	120	0	0
120	463	120	120	0	0
121	466	121	121	0	0
121	465	121	121	0	0
121	467	121	121	0	0
122	470	122	122	0	0
122	469	122	122	0	0
122	471	122	122	0	0
123	474	123	123	0	0
123	473	123	123	0	0
123	475	123	123	0	0
124	478	124	124	0	0
124	477	124	124	0	0
124	479	124	124	0	0
125	482	125	125	0	0
125	481	125	125	0	0
125	483	125	125	0	0
126	2001	14	126	112	112
126	486	126	126	0	0
126	485	126	126	0	0
126	487	126	126	0	0
127	490	127	127	0	0
127	489	127	127	0	0
127	491	127	127	0	0

=============================================================

Alien Army Won The Battle

=============================================================

Earth Statistics:
ES Count-> 238
ET Count-> 9
EG Count-> 117
Heal Units -> 128

ES_destructed:ES_total-> 100%
EG_destructed:EG_total-> 100%
ET_destructed:ET_total-> 100%

Infection states: 
Total Infected Units : 0
Infection Percentage : 0%


Total Destructed Earth Units : Total Earth Units-> 100%
Total Units in UML : Total Earth Units->0%

Healed Units : Total Earth Units-> 0%

Average of Df-> 0.596154
Average of Db-> 0.596154
Average of Dd-> 0.596154

Df / Db = 100%
Dd / Db = 100%

=============================================================

Alien Statistics:
AS Count-> 230
AD Count-> 226
AM Count-> 4

AS_destructed:AS_total-> 0%
AD_destructed:AD_total-> 0%
AM_destructed:AM_total-> 75%

Total Destructed Alien Units : Total Alien Units-> 0.652174%

Average of Df-> 74.6667
Average of Db-> 74.6667
Average of Dd-> 74.6667

Df / Db = 100%
Dd / Db = 100%
