Total Simulation steps: 570
Td	ID	Tj	Df	Dd	Db
75	2242	60	3	12	15
75	2256	64	3	8	11
75	2285	71	2	2	4
75	2272	68	3	4	7
75	6	27	0	48	48
75	5	27	0	48	48
75	16	75	NaN	NaN	NaN
76	2244	61	3	12	15
76	2230	57	2	17	19
76	2302	75	0	1	1
76	2249	62	10	4	14
76	2293	73	1	2	3
76	2276	69	3	4	7
76	2251	62	3	11	14
76	2250	62	3	11	14
77	2254	63	3	11	14
77	2289	72	3	2	5
77	2297	74	1	2	3
77	2237	59	13	5	18
78	2280	70	3	5	8
78	2268	67	3	8	11
78	2270	67	3	8	11
78	2273	68	5	5	10
78	2241	60	13	5	18
78	2271	67	3	8	11
79	2284	71	3	5	8
79	2275	68	3	8	11
79	2259	64	3	12	15
79	2258	64	3	12	15
79	2288	72	3	4	7
79	2274	68	3	8	11
79	2177	44	0	35	35
79	2260	65	3	11	14
80	2255	63	3	14	17
80	2267	66	3	11	14
80	2307	76	2	2	4
80	2225	56	22	2	24
80	2264	66	3	11	14
81	2292	73	4	4	8
81	2283	70	3	8	11
81	2306	76	1	4	5
81	2233	58	21	2	23
81	2296	74	4	3	7
81	2282	70	3	8	11
82	2286	71	3	8	11
82	2287	71	3	8	11
82	2303	75	4	3	7
82	2300	75	4	3	7
82	2262	65	3	14	17
82	2281	70	11	1	12
82	2313	78	2	2	4
82	2317	79	1	2	3
82	2263	65	3	14	17
83	2294	73	4	6	10
83	2301	75	1	7	8
83	2295	73	4	6	10
84	2299	74	4	6	10
84	2279	69	4	11	15
84	2278	69	4	11	15
84	2298	74	4	6	10
85	2319	79	3	3	6
85	2318	79	3	3	6
85	2316	79	3	3	6
85	2320	80	2	3	5
85	2309	77	6	2	8
85	2291	72	4	9	13
86	2290	72	4	10	14
86	2308	77	3	6	9
86	2310	77	3	6	9
86	2311	77	3	6	9
86	2324	81	2	3	5
86	2217	54	29	3	32
87	2312	78	3	6	9
87	2314	78	3	6	9
87	2315	78	3	6	9
87	2328	82	2	3	5
87	2321	80	1	6	7
87	2213	53	31	3	34
87	2322	80	2	5	7
88	2326	81	2	5	7
89	2342	85	2	2	4
89	2340	85	2	2	4
89	2330	82	2	5	7
89	2327	81	3	5	8
89	2329	82	1	6	7
89	2337	84	1	4	5
89	2332	83	2	4	6
90	2344	86	2	2	4
90	2334	83	2	5	7
90	2335	83	2	5	7
90	2333	83	1	6	7
90	2331	82	3	5	8
91	2323	80	3	8	11
91	2348	87	2	2	4
91	2353	88	1	2	3
91	2341	85	1	5	6
91	2336	84	2	5	7
92	2346	86	2	4	6
92	2347	86	2	4	6
93	2350	87	2	4	6
93	2351	87	2	4	6
93	2356	89	2	2	4
93	2343	85	2	6	8
93	2345	86	1	6	7
93	2361	90	1	2	3
93	2349	87	2	4	6
94	2354	88	2	4	6
94	2355	88	2	4	6
94	2360	90	2	2	4
94	2338	84	2	8	10
94	2339	84	2	8	10
95	2358	89	2	4	6
95	2359	89	2	4	6
96	2352	88	1	7	8
96	2364	91	1	4	5
96	2362	90	2	4	6
96	2363	90	2	4	6
97	2368	92	1	4	5
97	2370	92	1	4	5
98	2366	91	2	5	7
98	2367	91	2	5	7
99	2376	94	2	3	5
100	2380	95	2	3	5
100	2372	93	1	6	7
100	2371	92	2	6	8
100	2379	94	2	4	6
101	2384	96	2	3	5
101	2374	93	2	6	8
101	2375	93	2	6	8
102	2382	95	2	5	7
102	2383	95	2	5	7
102	2378	94	2	6	8
103	2387	96	2	5	7
103	2392	98	2	3	5
104	2386	96	2	6	8
105	2388	97	2	6	8
105	2390	97	2	6	8
105	2391	97	2	6	8
106	2394	98	2	6	8
106	2395	98	2	6	8
107	2396	99	2	6	8
108	2400	100	2	6	8
110	2404	101	2	7	9
110	2406	101	2	7	9
110	2399	99	2	9	11
110	2398	99	2	9	11
110	2408	102	2	6	8
111	2412	103	2	6	8
113	2403	100	3	10	13
113	2402	100	3	10	13
113	2416	104	2	7	9
116	2410	102	2	12	14
116	2407	101	3	12	15
117	2415	103	2	12	14
117	2414	103	2	12	14
119	2428	107	3	9	12
119	2411	102	3	14	17
121	2435	108	3	10	13
121	2444	111	4	6	10
121	2420	105	3	13	16
121	2436	109	3	9	12
121	8	29	0	92	92
121	11	29	0	92	92
121	10	29	0	92	92
121	24	121	NaN	NaN	NaN
122	2185	46	0	76	76
122	2423	105	3	14	17
122	2422	105	3	14	17
123	2357	89	32	2	34
123	2469	117	4	2	6
123	2429	107	14	2	16
123	2424	106	3	14	17
124	2481	120	2	2	4
125	2432	108	3	14	17
125	2418	104	3	18	21
125	2419	104	3	18	21
125	2489	122	1	2	3
125	2397	99	22	4	26
126	2464	116	5	5	10
126	2446	111	4	11	15
126	2447	111	4	11	15
126	2485	121	1	4	5
126	2477	119	5	2	7
126	2385	96	28	2	30
127	2473	118	7	2	9
127	2057	14	31	82	113
127	2426	106	3	18	21
128	2427	106	3	19	22
128	2405	101	25	2	27
128	2476	119	4	5	9
129	2430	107	3	19	22
129	2431	107	3	19	22
129	2443	110	4	15	19
129	2442	110	4	15	19
129	2440	110	4	15	19
130	2480	120	4	6	10
130	2460	115	5	10	15
130	2434	108	3	19	22
130	2497	124	1	5	6
130	2465	116	12	2	14
130	2467	116	5	9	14
130	7	27	0	103	103
130	15	66	0	64	64
130	14	66	0	64	64
130	28	130	NaN	NaN	NaN
131	2451	112	4	15	19
131	2450	112	4	15	19
131	2513	128	1	2	3
131	2501	125	2	4	6
131	2461	115	13	3	16
131	2466	116	5	10	15
131	2454	113	4	14	18
131	2452	113	4	14	18
132	2472	118	4	10	14
132	2448	112	4	16	20
132	2517	129	1	2	3
132	2453	113	14	5	19
132	2381	95	33	4	37
132	2509	127	3	2	5
133	2456	114	4	15	19
133	2438	109	4	20	24
134	2459	114	5	15	20
134	2457	114	15	5	20
134	2482	120	4	10	14
134	2483	120	4	10	14
135	2533	133	1	1	2
135	2521	130	1	4	5
135	2413	103	30	2	32
135	2500	125	5	5	10
135	2484	121	4	10	14
135	2487	121	4	10	14
136	2488	122	4	10	14
136	2449	112	22	2	24
136	2505	126	7	3	10
137	2468	117	5	15	20
137	2492	123	4	10	14
137	2491	122	4	11	15
137	2537	134	1	2	3
137	2445	111	23	3	26
137	2201	50	83	4	87
137	2455	113	4	20	24
137	2471	117	5	15	20
137	2470	117	5	15	20
138	2475	118	5	15	20
138	2474	118	5	15	20
138	2441	110	26	2	28
138	2543	135	1	2	3
138	2458	114	4	20	24
139	2499	124	5	10	15
139	2493	123	14	2	16
139	2325	81	57	1	58
139	2478	119	4	16	20
139	2496	124	4	11	15
139	2439	109	4	26	30
140	2498	124	5	11	16
140	2502	125	5	10	15
140	2503	125	5	10	15
140	2462	115	5	20	25
140	2463	115	5	20	25
140	2437	109	29	2	31
140	2433	108	31	1	32
141	2506	126	5	10	15
141	2507	126	5	10	15
141	2490	122	4	15	19
141	2524	131	5	5	10
141	2365	91	3	47	50
141	2528	132	4	5	9
141	2504	126	5	10	15
142	2508	127	5	10	15
142	2425	106	34	2	36
142	2545	136	4	2	6
143	2512	128	5	10	15
143	2514	128	5	10	15
143	2515	128	5	10	15
143	2532	133	5	5	10
143	2495	123	4	16	20
143	2494	123	4	16	20
144	2516	129	5	10	15
144	2518	129	5	10	15
144	2519	129	5	10	15
144	2536	134	5	5	10
145	2523	130	5	10	15
145	2544	136	4	5	9
145	2479	119	5	21	26
145	2565	141	0	4	4
145	2421	105	36	4	40
145	2526	131	5	9	14
145	2527	131	5	9	14
146	2530	132	4	10	14
146	2511	127	5	14	19
146	2510	127	5	14	19
146	2569	142	0	4	4
146	2389	97	44	5	49
147	2552	138	4	5	9
147	2534	133	5	9	14
147	2535	133	5	9	14
147	2417	104	38	5	43
148	2560	140	4	4	8
148	2538	134	5	9	14
148	2539	134	5	9	14
148	2520	130	5	13	18
149	2564	141	4	4	8
149	2546	136	4	9	13
149	2547	136	5	8	13
150	2531	132	5	13	18
150	2568	142	4	4	8
152	2572	143	4	5	9
152	2554	138	4	10	14
152	2555	138	4	10	14
152	2556	139	4	9	13
153	2559	139	5	9	14
154	2566	141	4	9	13
154	2567	141	4	9	13
155	2548	137	5	13	18
155	2570	142	4	9	13
155	2571	142	4	9	13
156	2584	146	4	6	10
156	2574	143	4	9	13
156	2575	143	4	9	13
157	2588	147	4	6	10
157	2551	137	5	15	20
157	2550	137	5	15	20
158	2592	148	4	6	10
158	2558	139	4	15	19
158	2576	144	3	11	14
158	2563	140	4	14	18
159	2562	140	4	15	19
159	2580	145	3	11	14
159	2578	144	4	11	15
159	2579	144	4	11	15
160	2582	145	4	11	15
160	2583	145	4	11	15
161	2586	146	4	11	15
